bundle_id,namespace,kind,declares_license_field,licence_ids_in_free_text,names_upstream_in_free_text,provenance_verdict
@anthropic-impeccable/anti-pattern-center-everything,@anthropic-impeccable,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/anti-pattern-gray-on-colored-bg,@anthropic-impeccable,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/anti-pattern-modal-as-default,@anthropic-impeccable,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/anti-pattern-rounded-border-accent,@anthropic-impeccable,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/anti-pattern-sparklines-as-decoration,@anthropic-impeccable,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/fact-button-label-formula,@anthropic-impeccable,fact,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/fact-dark-mode-not-inverted-light,@anthropic-impeccable,fact,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/fact-stagger-cap-for-large-lists,@anthropic-impeccable,fact,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/pattern-multi-dimension-hierarchy,@anthropic-impeccable,pattern,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/principle-ai-slop-test,@anthropic-impeccable,principle,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/principle-cards-not-required,@anthropic-impeccable,principle,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/principle-font-pairing-contrast,@anthropic-impeccable,principle,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/principle-perceived-performance,@anthropic-impeccable,principle,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/principle-tinted-neutrals,@anthropic-impeccable,principle,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/principle-unforgettable-one-thing,@anthropic-impeccable,principle,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/rule-empty-state-teaches,@anthropic-impeccable,rule,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/rule-exit-faster-than-entrance,@anthropic-impeccable,rule,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/rule-no-redundant-copy,@anthropic-impeccable,rule,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/rule-single-orchestrated-entrance,@anthropic-impeccable,rule,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/template-accordion-grid-rows,@anthropic-impeccable,template,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/template-dark-mode-surface-hierarchy,@anthropic-impeccable,template,False,,False,NO-UPSTREAM-CLAIMED
@anthropic-impeccable/template-font-loading-fout-fix,@anthropic-impeccable,template,False,,True,UNDECLARED-UPSTREAM-NO-LICENCE
@anthropic-impeccable/template-opentype-features,@anthropic-impeccable,template,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-accessibility-after-thought,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ai-generated-ui,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ai-slop-aesthetics,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-alert-on-everything,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-batch-only-pipelines,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-blocking-third-party,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-breaking-keyboard-flow,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-burying-frequent-actions,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-cherry-picking-evidence,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-clear-form-on-failure,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-click-to-open-only,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-color-only-meaning,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-cramped-ui,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-custom-cursor-a11y,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-dark-pattern-consent,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-decorative-spinning,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-eval-user-input,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-fake-trust-signals,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-flag-as-language,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-generic-error-text,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-generic-saas-blue,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-hardcoded-pixel-values,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-hover-only-interaction,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ignoring-negative-experiments,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-infinite-marquee-no-pause,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-invisible-focus,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ios-fullscreen-spinner,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ios-hamburger-menu,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ios-ignore-safe-area,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ios-non-dismissable-modal,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-ios-stacked-modals,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-leaky-target,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-magic-numbers,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-md5-for-passwords,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-missing-empty-state,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-multi-change-experiment,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-no-bounce-everything,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-no-loading-state,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-open-redirect,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-outline-suppression,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-overloaded-screen,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-rainbow-explosion,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-rpc-as-rest,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-snowflake-server,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-sql-string-concat,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-test-the-mock,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-text-in-image,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-thin-weight-body,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-tiny-touch-targets,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-trusting-client-validation,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/anti-pattern-vanity-metrics,@community,anti-pattern,False,,False,NO-UPSTREAM-CLAIMED
@community/category-button-hierarchy,@community,category,False,,False,NO-UPSTREAM-CLAIMED
@community/category-form-input-states,@community,category,False,,False,NO-UPSTREAM-CLAIMED
@community/category-layout-grid,@community,category,False,,False,NO-UPSTREAM-CLAIMED
@community/category-typography-scale,@community,category,False,,False,NO-UPSTREAM-CLAIMED
@community/check-animation-duration,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-aria-label-required,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-body-readability,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-button-type-explicit,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-color-contrast-aaa,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-color-dark-mode-cascade,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-color-oklch-required,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-color-system-preflight,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-content-security-policy,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-content-width-constrained,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-contrast-aa,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-cookie-secure-flags,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-dependency-audit,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-error-message-associated,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-focus-visible-styled,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-font-blacklist-applied,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-form-label-associated,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-form-validation-inline,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-grid-baseline-aligned,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-heading-hierarchy,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-https-everywhere,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-image-optimization,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-ios-hig-compliance,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-ios-increase-contrast,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-line-length-optimal,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-link-purpose-clear,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-mobile-first,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-no-credentials-client,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-reduced-motion-required,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-secrets-not-in-git,@community,check,False,,True,UNDECLARED-UPSTREAM-NO-LICENCE
@community/check-spacing-rhythm,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/check-touch-target-min,@community,check,False,,False,NO-UPSTREAM-CLAIMED
@community/collection-accessible-frontend,@community,collection,False,,False,NO-UPSTREAM-CLAIMED
@community/collection-accessible-modal,@community,collection,False,,False,NO-UPSTREAM-CLAIMED
@community/collection-fintech-compliance-ui,@community,collection,False,,False,NO-UPSTREAM-CLAIMED
@community/collection-i18n-ready-component,@community,collection,False,,False,NO-UPSTREAM-CLAIMED
@community/collection-performance-budget,@community,collection,False,,False,NO-UPSTREAM-CLAIMED
@community/collection-rest-api-discipline,@community,collection,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-accessibility-aa-minimum,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-animation-pref-respected,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-brand-hue-required,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-card-grid-gap,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-content-language-declared,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-distinctiveness-mandate,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
@community/constraint-focus-indicator-min-size,@community,constraint,False,,False,NO-UPSTREAM-CLAIMED
